"No.","Time","Source","Destination","Protocol","Length","Info"
"9","4.680216","192.168.1.10","192.168.1.255","NTP","90","NTP Version 4, broadcast"
"101","59.597650","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<20>"
"102","59.597779","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<03>"
"103","59.597830","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<00>"
"104","59.598074","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<00>"
"105","59.598268","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<1e>"
"106","59.598613","192.168.1.157","192.168.1.255","BROWSER","279","Host Announcement HERBIVORE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Potential Browser, DFS server"
"142","61.610906","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<20>"
"143","61.610909","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<03>"
"144","61.611130","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<00>"
"145","61.611134","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<00>"
"146","61.611135","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<1e>"
"147","61.611354","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<20>"
"148","61.611358","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<03>"
"149","61.611360","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<00>"
"150","61.611475","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<00>"
"151","61.611479","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<1e>"
"152","63.625917","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<20>"
"153","63.627865","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<03>"
"154","63.629367","192.168.1.157","192.168.1.255","NBNS","110","Registration NB HERBIVORE<00>"
"155","63.631162","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<00>"
"156","63.632793","192.168.1.157","192.168.1.255","NBNS","110","Registration NB SANS<1e>"
"163","68.679523","192.168.1.10","192.168.1.255","NTP","90","NTP Version 4, broadcast"
"192","84.245569","192.168.1.159","192.168.1.255","BROWSER","216","Get Backup List Request"
"193","84.253657","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"198","84.996965","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"199","85.751020","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"205","88.495741","192.168.1.159","192.168.1.255","BROWSER","216","Get Backup List Request"
"206","88.496757","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"207","89.247375","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"208","89.998917","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"209","90.000408","192.168.1.157","192.168.1.255","NBNS","92","Name query NB SANS<1d>"
"221","92.007474","192.168.1.157","192.168.1.255","NBNS","92","Name query NB SANS<1d>"
"222","92.008941","192.168.1.157","192.168.1.255","NBNS","92","Name query NB SANS<1d>"
"223","92.751776","192.168.1.159","192.168.1.255","BROWSER","216","Get Backup List Request"
"224","92.751780","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"235","93.497479","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"238","94.250089","192.168.1.159","192.168.1.255","NBNS","92","Name query NB WORKGROUP<1b>"
"239","94.250094","192.168.1.157","192.168.1.255","NBNS","92","Name query NB SANS<1d>"
