"No.","Time","Source","Destination","Protocol","Length","Info"
"1147","58.237237","192.168.151.24","192.168.151.24","TCP","56","21  >  56247 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"1150","58.238506","192.168.151.24","192.168.151.24","FTP","86","Response: 220-FileZilla Server version 0.9.41 beta"
"1153","58.238545","192.168.151.24","192.168.151.24","FTP","89","Response: 220-written by Tim Kosse (Tim.Kosse@gmx.de)"
"1155","58.238591","192.168.151.24","192.168.151.24","FTP","105","Response: 220 Please visit http://sourceforge.net/projects/filezilla/"
"1158","58.238807","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=149 Ack=11 Win=2161152 Len=0"
"1168","58.239001","192.168.151.24","192.168.151.24","FTP","84","Response: 502 SSL/TLS authentication not allowed"
"1174","58.239073","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=189 Ack=21 Win=2161152 Len=0"
"1175","58.239154","192.168.151.24","192.168.151.24","FTP","84","Response: 502 SSL/TLS authentication not allowed"
"1182","58.246716","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=229 Ack=32 Win=2161152 Len=0"
"1183","58.246892","192.168.151.24","192.168.151.24","FTP","76","Response: 331 Password required for coba"
"1188","58.246967","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=261 Ack=45 Win=2161152 Len=0"
"1193","58.247137","192.168.151.24","192.168.151.24","FTP","59","Response: 230 Logged on"
"1200","58.248626","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=276 Ack=50 Win=2161152 Len=0"
"1201","58.248704","192.168.151.24","192.168.151.24","FTP","75","Response: 257 ""/"" is current directory."
"1208","58.248820","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=307 Ack=58 Win=2161152 Len=0"
"1209","58.248880","192.168.151.24","192.168.151.24","FTP","63","Response: 200 Type set to I"
"1214","58.248940","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=326 Ack=64 Win=2161152 Len=0"
"1219","58.249148","192.168.151.24","192.168.151.24","FTP","96","Response: 227 Entering Passive Mode (192,168,151,24,219,184)"
"1224","58.249336","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=378 Ack=70 Win=2161152 Len=0"
"1232","58.250716","192.168.151.24","192.168.151.24","FTP","69","Response: 150 Connection accepted"
"1244","58.251452","192.168.151.24","192.168.151.24","FTP","61","Response: 226 Transfer OK"
"3573","178.679762","192.168.151.24","192.168.151.24","FTP","71","Response: 421 Connection timed out."
"3575","178.679806","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [FIN, ACK] Seq=447 Ack=70 Win=2161152 Len=0"
"3582","178.680066","192.168.151.24","192.168.151.24","TCP","44","21  >  56247 [ACK] Seq=448 Ack=71 Win=2161152 Len=0"
